Transaction_ID,Date,Category,Amount,Payment_Method,Customer_ID
TXN-0001,2025-01-01,Electronics,337.31,wire_transfer,Customer-210
TXN-0002,2025-01-02,Electronics,303.26,cash,Customer-649
TXN-0003,2025-01-03,Software,232.37,wire_transfer,Customer-238
TXN-0004,2025-01-04,Food,277.48,crypto,Customer-441
TXN-0005,2025-01-05,Clothing,357.06,debit_card,Customer-189
TXN-0006,2025-01-06,Software,251.12,cash,Customer-171
TXN-0007,2025-01-07,Electronics,313.55,wire_transfer,Customer-144
TXN-0008,2025-01-08,Electronics,203.9,debit_card,Customer-229
TXN-0009,2025-01-09,Electronics,360.71,wire_transfer,Customer-371
TXN-0010,2025-01-10,Services,180.86,credit_card,Customer-887
TXN-0011,2025-01-11,Food,136.2,wire_transfer,Customer-940
TXN-0012,2025-01-12,Software,234.41,crypto,Customer-678
TXN-0013,2025-01-13,Food,112.57,credit_card,Customer-625
TXN-0014,2025-01-14,Services,153.91,crypto,Customer-753
TXN-0015,2025-01-15,Software,146.58,cash,Customer-622
TXN-0016,2025-01-16,Electronics,236.53,debit_card,Customer-843
TXN-0017,2025-01-17,Electronics,216.66,cash,Customer-445
TXN-0018,2025-01-18,Software,198.84,cash,Customer-175
TXN-0019,2025-01-19,Services,168.88,cash,Customer-293
TXN-0020,2025-01-20,Software,209.84,credit_card,Customer-951
TXN-0021,2025-01-21,Food,224.69,credit_card,Customer-515
TXN-0022,2025-01-22,Software,39.44,crypto,Customer-841
TXN-0023,2025-01-23,Electronics,8149.32,wire_transfer,Customer-338
TXN-0024,2025-01-24,Software,236.71,cash,Customer-281
TXN-0025,2025-01-25,Clothing,93.14,crypto,Customer-145
TXN-0026,2025-01-26,Electronics,307.03,debit_card,Customer-567
TXN-0027,2025-01-27,Clothing,246.28,credit_card,Customer-378
TXN-0028,2025-01-28,Services,105.25,cash,Customer-100
TXN-0029,2025-01-01,Electronics,336.51,crypto,Customer-190
TXN-0030,2025-01-02,Electronics,285.9,cash,Customer-108
TXN-0031,2025-01-03,Software,387.82,cash,Customer-513
TXN-0032,2025-01-04,Electronics,318.58,wire_transfer,Customer-368
TXN-0033,2025-01-05,Services,250.46,credit_card,Customer-456
TXN-0034,2025-01-06,Electronics,159.7,debit_card,Customer-529
TXN-0035,2025-01-07,Electronics,360.0,debit_card,Customer-180
TXN-0036,2025-01-08,Electronics,302.68,crypto,Customer-496
TXN-0037,2025-01-09,Software,338.7,wire_transfer,Customer-398
TXN-0038,2025-01-10,Services,366.06,wire_transfer,Customer-229
TXN-0039,2025-01-11,Software,109.87,wire_transfer,Customer-921
TXN-0040,2025-01-12,Software,234.88,cash,Customer-542
TXN-0041,2025-01-13,Electronics,230.41,debit_card,Customer-560
TXN-0042,2025-01-14,Services,124.15,wire_transfer,Customer-539
TXN-0043,2025-01-15,Electronics,49.33,debit_card,Customer-627
TXN-0044,2025-01-16,Software,222.61,debit_card,Customer-451
TXN-0045,2025-01-17,Software,,credit_card,Customer-683
TXN-0046,2025-01-18,Food,222.96,credit_card,Customer-378
TXN-0047,2025-01-19,Software,275.52,debit_card,Customer-507
TXN-0048,2025-01-20,Electronics,334.4,crypto,Customer-182
TXN-0049,2025-01-21,Clothing,251.94,crypto,Customer-117
TXN-0050,2025-01-22,Clothing,560.86,wire_transfer,Customer-678
TXN-0051,2025-01-23,Clothing,216.18,credit_card,Customer-667
TXN-0052,2025-01-24,Software,225.4,debit_card,Customer-928
TXN-0053,2025-01-25,Software,275.85,debit_card,Customer-848
TXN-0054,2025-01-26,Services,137.92,credit_card,Customer-363
TXN-0055,2025-01-27,Software,130.55,cash,Customer-960
TXN-0056,2025-01-28,Software,311.71,debit_card,Customer-724
TXN-0057,2025-01-01,Electronics,159.61,crypto,Customer-812
TXN-0058,2025-01-02,Software,176.02,credit_card,Customer-807
TXN-0059,2025-01-03,Electronics,311.17,wire_transfer,Customer-785
TXN-0060,2025-01-04,Services,177.6,wire_transfer,Customer-467
TXN-0061,2025-01-05,Clothing,157.62,cash,Customer-940
TXN-0062,2025-01-06,Clothing,389.61,cash,Customer-925
TXN-0063,2025-01-07,Electronics,200.69,cash,Customer-279
TXN-0064,2025-01-08,Software,305.43,cash,Customer-477
TXN-0065,2025-01-09,Electronics,306.46,wire_transfer,Customer-939
TXN-0066,2025-01-10,Software,304.6,wire_transfer,Customer-156
TXN-0067,2025-01-11,Services,177.78,credit_card,Customer-576
TXN-0068,2025-01-12,Software,206.69,wire_transfer,Customer-348
TXN-0069,2025-01-13,Services,319.5,wire_transfer,Customer-452
TXN-0070,2025-01-14,Clothing,200.89,cash,Customer-613
TXN-0071,2025-01-15,Software,233.53,wire_transfer,Customer-226
TXN-0072,2025-01-16,Electronics,277.0,cash,Customer-776
TXN-0073,2025-01-17,Services,220.74,debit_card,Customer-654
TXN-0074,2025-01-18,Clothing,254.2,wire_transfer,Customer-991
TXN-0075,2025-01-19,Food,229.1,debit_card,Customer-616
TXN-0076,2025-01-20,Software,235.27,wire_transfer,Customer-822
TXN-0077,2025-01-21,Software,287.25,credit_card,Customer-804
TXN-0078,2025-01-22,Electronics,339.28,wire_transfer,Customer-391
TXN-0079,2025-01-23,Clothing,231.35,cash,Customer-113
TXN-0080,2025-01-24,Services,273.24,debit_card,Customer-302
TXN-0081,2025-01-25,Electronics,82.15,wire_transfer,Customer-643
TXN-0082,2025-01-26,Clothing,223.66,wire_transfer,Customer-611
TXN-0083,2025-01-27,Services,241.1,debit_card,Customer-553
